elev_mid_m,area_km2,dH_rate_m_yr,ci95_m_yr,ash_pct
1400,6.70,-0.327,0.063,86.5
1600,9.66,-0.237,0.038,71.2
1800,12.62,-0.226,0.027,40.8
2000,12.04,-0.234,0.025,16.2
2200,13.50,-0.272,0.027,32.8
2400,16.60,-0.437,0.037,22.2
2600,32.17,-0.446,0.023,6.9
2800,18.03,-0.388,0.038,4.6
3000,12.77,-0.653,0.085,2.0
3200,13.86,-0.693,0.076,0.7
3400,16.34,-0.637,0.051,0.3
3600,13.43,-0.585,0.036,0.1
3800,7.88,-0.420,0.038,0.3
4000,1.52,-0.407,0.213,1.4
4200,0.85,-0.309,0.353,4.9
4400,0.40,-0.183,0.444,5.2
