year_a,year_b,dx_all,dy_all,dz_all,dx_filt,dy_filt,dz_filt,ref_scene,tgt_scene
2012,2013,1.097175850481721,0.48483452827460455,0.19633149470269018,1.4575219311681324,0.36596115220270203,0.17584777956290054,DEM_FNL_20,DEM_FNL_20
2013,2014,-0.7591836917250748,-0.3610388162074803,-0.17253721569420577,-0.7661506362009495,-0.32248838029401766,-0.18308821364655614,DEM_FNL_20,DEM_FNL_20
2014,2015,-2.189566763153779,0.48198761455065636,-0.08932011127217265,-2.188514380398932,0.5000629966627971,-0.08055671350098237,DEM_FNL_20,DEM_FNL_20
2015,2016,0.6752824627550218,-0.49633312700962107,0.20598882148101438,0.6434387416663638,-0.4848004853715182,0.19872028993950153,DEM_FNL_20,DEM_FNL_20
2016,2017,1.9725941498236508,0.2421081240342133,-0.0011843007200695865,1.9993267246594126,0.23836061379654674,0.0016148145498391386,DEM_FNL_20,DEM_FNL_20
2017,2018,1.60657746948823,0.08910649666130667,0.011452982157493352,1.671268507500337,0.017421238381861295,0.014288210384165723,DEM_FNL_20,DEM_FNL_20
2018,2019,-0.6985286081609253,0.14698440227044304,0.05879177520569101,-0.7134502509787599,0.10212042292184746,0.06377131305760031,DEM_FNL_20,DEM_FNL_20
2019,2020,-0.8410392315791959,-0.4854959932914786,-0.07562896494141569,-0.9094348270351373,-0.5303700051036724,-0.08627900576186676,DEM_FNL_20,DEM_FNL_20
2020,2021,0.5196958819389694,0.24021695635600704,0.005078208337408796,0.4952057458372434,0.20361700252910203,0.004053947502825395,DEM_FNL_20,DEM_FNL_20
2021,2022,1.012967662237101,-1.6370569870568585,0.1382901740591933,1.058466408299756,-1.444918322231999,0.308178865635341,DEM_FNL_20,DEM_FNL_20
2022,2023,3.6953486034924343,1.7040526344261147,0.07298738426857199,3.306428839658917,1.3650458597242012,-0.07367952780327869,DEM_FNL_20,DEM_FNL_20
2023,2024,-0.26410153078211723,0.0609460368222835,0.1846924919371986,-0.32284465680814617,0.04224555693001826,0.17375998970283035,DEM_FNL_20,DEM_FNL_20
2024,2025,-2.501295941007135,-0.13393493922053762,0.8940831226207706,-2.482287713339416,-0.3467272946257197,0.9174477485667012,DEM_FNL_20,DEM_FNL_20
