year_a,year_b,rate_unfilt,ci_unfilt,sigma_unfilt,rate_filt,ci_filt,sigma_filt
2012,2013,0.7671800255775452,3.094909781405756,5.070427985852555,1.3357089757919312,2.316296392125063,8.624582474042585
2013,2014,-0.4773624837398529,1.3350193785069646,2.8778662284634886,-0.8489511609077454,2.5085780490245333,5.407675847242293
2014,2015,-1.7963430881500244,2.5639626834338674,4.200570957793709,-1.090882658958435,0.75074244021879,4.392679948589165
2015,2016,0.87990403175354,1.0212453555854353,2.2014718041781434,0.3960886001586914,0.578625390501228,3.3856033899703117
2016,2017,-1.2834285497665405,0.7557572740311346,2.0636104137735387,-1.3100895881652832,0.9662466532833749,3.0442567971294565
2017,2018,-0.7972915768623352,0.6578930081182162,1.5850500621170027,-0.5310376882553101,0.5801184462130653,3.3943394298371974
2018,2019,0.3121272325515747,1.190247403514863,2.867642150920736,0.15014685690402985,1.6451768214360358,4.492188349184702
2019,2020,0.05045021325349808,1.4553505015917398,2.591650285290855,0.012335832230746746,0.7776781901740342,3.5391098591917807
2020,2021,0.7058724164962769,0.5114167667407548,1.2321474280578621,0.6932678818702698,0.4892541647417493,2.22653053662296
2021,2022,-2.128441095352173,2.027812170469174,3.9549870383994272,1.061669111251831,2.7181259789254284,8.563727966021888
2022,2023,-1.8657056093215942,3.2684656860770533,5.820398603992925,-3.7163312435150146,1.5932927585412353,7.250863122534345
2023,2024,-0.7765792608261108,1.8682094475353848,3.643702438331984,0.34396839141845703,1.0009767445377191,4.555311837435424
2024,2025,-1.2820149660110474,2.09767427957326,3.7354837471505387,-0.9919309616088867,0.6751582552873759,5.530599523540166
