variable,raw_r,raw_p,partial_r,partial_p
elevation,-0.38256848,0.0,nan,nan
slope,-0.0030819662,0.2371108131596047,0.12572336,0.0
ash_cover,0.2590731234740306,0.0,0.014905288929644536,1.0781173303514028e-08
aspect_sin,-0.051144253,8.291719481693392e-86,-0.01732408,3.011998544628043e-11
aspect_cos,0.049950473,6.236572351178696e-82,0.018322106,2.081455355497314e-12
