metric,value
hotspot_px,10678
flank_zone_px,2529
overlap_px,0
pct_hotspot_in_flank,0.0
pct_flank_is_hotspot,0.0
hotspot_mean_elev_m,2869.0
flank_elev_band_m,3400-4500

elev_band_lo,elev_band_hi,flank_n,flank_medianT_C,rest_n,rest_medianT_C,anomaly_C
3400,3600,343,-5.460968017578125,12810,-29.953636169433594,24.49266815185547
3600,3800,406,-5.743804931640625,8689,-29.011123657226562,23.267318725585938
3800,4000,378,-6.676055908203125,4614,-31.291778564453125,24.61572265625
4000,4200,393,-7.082794189453125,2236,-32.34881591796875,25.266021728515625
4200,4400,338,-6.959747314453125,1377,-32.94354248046875,25.983795166015625
4400,4600,107,-5.831817626953125,826,-32.58721923828125,26.755401611328125
