category,n_px,roughness_median_m,elevation_median_m,elevation_p10_m,elevation_p90_m
never_ash,86434,15.122822926028405,3367.965576171875,2682.6379638671874,3766.2769775390625
eruption_specific_n1,43916,10.296110121895389,2666.719970703125,2226.22021484375,3020.2294921875
persistent_n3plus,48231,7.168910725997989,1900.0323486328125,1602.2294921875,2424.803662109375

cross_year_consistency,n_flagged_of_4,n_px,pct_of_glacier
,0,86434,38.43
,1,43916,19.53
,2,46322,20.6
,3,25269,11.24
,4,22962,10.21
