set,n_px,layover_pct,shadow_pct,ls_map_flagged_pct,mean_coherence,mean_loc_inc_deg
whole glacier,144799,0.22795457537397715,0.01108593679630284,0.23904051217027997,0.9689636,41.017464
HOTSPOT (fastest thinning),7241,0.825405707890319,0.0,0.825405707890319,0.9501799,34.50126
COLDSPOT (slowest/thickening),7244,0.5880705684682161,0.15401848221786615,0.7420890506860823,0.8702712,44.646732
