year,summer_lowering_m,apparent_accum_m,PDD_degCd,snowfall_OctApr_cm
2012,0.70,nan,982,252
2013,-0.26,nan,985,708
2014,0.66,-1.13,1051,452
2015,0.35,-0.11,846,555
2016,0.87,-0.44,1058,388
2017,1.25,-0.79,865,911
2018,0.66,-1.34,752,1193
2019,1.26,nan,747,1040
2020,1.21,-0.43,773,891
2021,0.65,-0.38,877,868
