date,dx,dy,dz,month
2012-02-13,-1.2109252805167878,0.7333145450616056,1.266370642883885,2
2012-08-07,0.254263397072896,0.5184751077473714,0.9686798666827485,8
2012-08-18,0.46965185112900226,0.4667640106351612,0.9275848845477412,8
2012-08-29,-103.98915009247204,-9.859947038265965,-23.95746782591891,8
2013-07-25,-0.0057711369468703335,0.4513281426437871,0.8983286534112835,7
2013-08-05,0.1651647476731097,0.4542854880683885,0.8943481780245293,8
2013-08-16,1.6627274267830032,-1.1775746529694366,0.5868768523513381,8
2013-08-27,-6.5340361528094935,-2.3958847410704984,1.5306199635161306,8
2013-09-07,0.28271375687111694,-0.21219306429602822,0.42549506175816987,9
2013-09-18,-2.121831085018594,0.9866762157555188,1.2490741560386596,9
2013-09-29,-1.5445749725182623,0.10987827570982739,0.8069138389543582,9
2014-07-12,0.22955584556701789,0.459649692787276,0.9298640759482169,7
2014-07-23,0.04071151622051667,0.30222783048180923,0.9505316250110809,7
2014-08-03,-0.20047963043804562,0.26799014636538754,0.9743658264073929,8
2015-04-13,-4.107932445009478,0.3967113569323778,0.6367726002600875,4
2015-04-24,0.5775317828273465,-1.0067784320324769,0.7710695725278924,4
2015-07-21,1.491217093970748,-0.09018051873849767,0.4786905718167418,7
2015-08-01,2.584853481077528,-0.5639863590546991,0.3739943283919729,8
2015-08-12,-1.4211996361879764,1.5350648985076185,0.9437801023851193,8
2015-08-23,0.7953164177448111,1.8069512010297826,0.47656971480830634,8
2015-09-03,-0.3292900436229471,2.271827512063708,0.6058237326172957,9
2015-09-14,0.21301068992244396,-0.5301140243160628,0.8045192478464287,9
2015-09-25,0.3905159781839337,0.058601371900043955,0.9548734193544988,9
2016-02-26,-1.8982877126458795,0.5180577354078133,1.3954308669832471,2
2016-03-08,-13.801716106344253,15.730605219455772,1.5212556908290367,3
2016-03-30,-2.0620080333837,0.33390367011543104,1.3167864628685493,3
2016-04-10,-6.169944093933883,2.162341510295857,1.5508439283341886,4
2016-04-21,-2.3582771526880064,0.4118409288449207,1.2994957522024606,4
2016-05-02,-1.3844574369017713,-0.2879493423152302,0.8513747926555197,5
2016-05-13,-1.9742966379125864,-0.138098697017741,1.0135076180929445,5
2016-05-24,-1.9045822838095792,-0.11077589136150853,0.966926854752046,5
2016-06-04,-1.8330279546467718,-0.10221939376399887,0.951625560456705,6
2016-06-15,-1.4972650061773782,-0.2777940889139879,0.8667413036432663,6
2016-06-26,-0.7408955628436494,-0.1699746135186836,0.8538592997781507,6
2016-07-18,-0.37128727193185,-0.1846727258648397,0.7397918523756744,7
2016-08-09,0.20244021634001894,-0.13046319679152985,0.7551639207694052,8
2016-08-20,0.10928042931782417,-0.09609831101272154,0.804687343546675,8
2016-08-31,-0.22767518916856727,-0.3057982824285562,0.8396347559991568,8
2017-02-12,-1.627651119218076,0.10277666220276523,1.0417953529713486,2
2017-08-07,-1.340244694577894,-0.19730690428784334,0.7124577821143134,8
2017-08-29,-1.137413035485816,-0.06780078484838437,0.7671380872329792,8
2017-10-01,-1.6558098936632228,-0.025520091907877084,0.806141591741266,10
2018-01-08,-14.770578306756985,18.590879488940807,15.84542100270346,1
2018-01-30,-3.25223420590242,-1.016372798430175,0.45292460244746735,1
2018-02-10,-5.130467623379179,-0.1434280221556434,1.2569465797407702,2
2018-02-21,-0.8957611932010233,0.15528540166961574,0.6221888783752547,2
2018-07-25,-5.15534343356133,-1.3186173137534714,1.1752190338211221,7
2018-08-05,-3.885557784685385,-0.8986634614954868,0.5950544692734638,8
2018-08-16,-3.217283529745554,-0.3518944340163596,0.7481598093535808,8
2018-08-27,-2.7443217056365743,-0.27863268511949263,0.7248499607007943,8
2018-09-07,-1.8802080552217921,-0.3140384827343998,0.5759233575558937,9
2018-09-18,-2.154568781114699,-0.3511545730772545,0.7698188734589166,9
2018-09-29,-2.6635721240283035,-0.4628366507031457,0.9558779142987532,9
2019-01-28,4.171082203660598,0.4320533500584257,1.1660284952331494,1
2019-02-08,5.53605077111898,-2.4820392769874835,0.9683847613282524,2
2019-05-07,-2.138482960725539,0.10124145816905855,0.8357887826678052,5
2019-05-18,-2.598597742205541,-0.07969599871028303,0.7907553691427438,5
2019-05-29,-22.171816741475762,14.37835357446525,1.0656553408605305,5
2019-06-09,-1.7986083771867372,-0.241952833682614,0.6944097610997915,6
2019-06-20,-1.481309071839732,-0.609574752233908,0.7077516936832922,6
2019-07-01,-2.431541351242134,-0.49694546727749767,0.6276475850830252,7
2019-09-16,-2.5742025816974095,-0.343513430777112,0.6949212321550249,9
2019-09-27,-2.6058646051429872,0.3691723779194797,0.7763111528046807,9
2019-11-10,5.3799594007853635,2.360733118864438,1.1734353001813815,11
2019-11-21,2.2538351449227996,-0.14411688443050846,0.7190784758386144,11
2019-12-02,781.841838333998,-2554.484941514842,459.8824202842857,12
2019-12-13,-2.0152031857575796,-3.0503480127894025,0.32621758620888386,12
2019-12-24,12.18129078894974,0.16985534847756814,-1.1062307532329214,12
2020-02-17,-3.345297979368231,0.15225248575433512,1.108275506048244,2
2020-08-11,-1.255115492315505,0.16914315075967526,0.7278976173738556,8
2020-08-22,-1.5294240082666615,0.15522437086928867,0.7383898209225208,8
2020-09-02,-2.2837332704887197,-0.06797111443023914,0.7598808585503889,9
2020-09-13,-2.049287155051097,0.274850152457894,0.8338212740620747,9
2020-09-24,-2.4374926005431505,-0.11729797206746786,0.8430123159102436,9
2020-12-10,148.4872097281693,75.58322691347958,-22.393601168659757,12
2020-12-21,4.506768907624845,2.422628805225029,-1.357879405800304,12
2021-01-01,-5.738419783800807,-2.856067998736512,1.5721857941890107,1
2021-01-12,-5.647712471406345,-1.5327053872330385,1.2160918009716966,1
2021-01-23,-6.414393665206937,-1.8033466097159412,1.6484291471315373,1
2021-02-03,-2.6487291976792933,-1.3467386743253442,0.7790000880313528,2
2021-06-15,-4.927736658771044,-0.44617540255354776,0.7238666939713312,6
2021-06-26,-1.8226533707356531,-0.4205579124426285,0.2299850694151928,6
2021-07-18,-1.5053824423768476,-0.3303627858550106,0.21845371338758923,7
2021-07-29,-1.8891454099549567,-0.19607685394661042,0.6956234911135653,7
2021-08-09,-1.498694046353508,-0.1361026423446267,0.7288517918657362,8
2021-08-20,-1.8513361461955158,-0.20793272271693264,0.8854705731168906,8
2021-08-31,-1.6106930711509395,-0.07211583855168602,0.7269714400974863,8
2021-09-22,-2.0579310201940655,-0.03274477499592894,0.7431012734087972,9
2022-03-06,-1.327244938859023,-0.03231425582955749,0.4687809757922423,3
2022-03-17,-7.442324955131792,-1.0121734292330513,1.7003593781182644,3
2022-08-07,-1.2418172143214283,-0.18144258951042405,0.5168341305238755,8
2022-08-18,2.7152593015238344,1.5486845954754154,0.9267323372907867,8
2022-08-29,6.640940577130696,4.097036809635433,0.9512210019415761,8
2022-09-20,86.9307455354744,31.67799041776193,-17.936354768675756,9
2022-10-01,2.9724781291434668,1.0408412573483594,-1.5428560477569135,10
2022-11-14,-4.491310290049155,-0.0948982663400263,1.0776187119301994,11
2022-11-25,-4.158927234005834,-0.2247572520033672,0.9074522195718373,11
2022-12-06,-4.518018925034688,-0.08824871050630435,1.0741891307325204,12
2022-12-17,-6.081427316336353,-0.7730419834910093,1.2428395138956603,12
2023-01-08,-4.384129734811535,-3.551008259128741,1.1965459346841385,1
2023-01-19,10.1167125598789,2.5033185999919247,-2.834867719009253,1
2023-01-30,253.8860352704688,33.19805741622383,-7.502644131390014,1
2023-02-10,1331.7875452030992,716.3933930443924,57.45501886512221,2
2023-06-11,226.20160409113865,103.68902607852861,-259.0003402246793,6
2023-06-22,2324.6476155767496,219.42139396374378,-142.7978728225075,6
2023-07-03,-256.649006747295,-45.92084662255747,58.576214233705514,7
2023-08-05,7.999062507031775,1.448600290898381,-2.772253549203924,8
2023-08-16,-4.802136906953957,-0.47496598605780793,1.3747064179436848,8
2023-08-27,-0.889717926786869,-0.19934862235955025,-0.11043106490114951,8
2023-09-07,-1.4347935061877426,-0.5504102438616468,0.38991245391912344,9
2023-09-18,-3.5288189729248503,-1.1688859439628494,0.47874417581169837,9
2023-09-29,-2.930513796852526,0.23706873808864007,0.7294808263209234,9
2023-10-10,-2.759709764590393,-0.03646392567997162,0.7291678400657702,10
2024-01-06,-4.857162828341907,0.48469742369782537,1.4070595780566464,1
2024-01-28,-3.8814638439057654,1.024607412831098,0.8242084229020747,1
2024-02-08,-4.056202454762433,-5.536300069281038,1.394078917345439,2
2024-02-19,-2.652202699629227,-2.499299825310253,0.441202328374402,2
2024-03-01,24.38019469114051,27.334056062903752,1.2008570291342267,3
2024-03-12,1197.8216858330877,290.99597372779783,-238.71684525874934,3
2024-03-23,285.8029021558358,437.01764555010016,187.52316782188245,3
2024-04-03,-227.87456891826648,-59.285787953279225,42.7957166562295,4
2024-04-14,1148.481885867124,652.4599859986361,-71.54274626597157,4
2024-04-25,861.6407383575798,316.1939515687428,-187.33539518623843,4
2024-06-19,31.05365718770868,-27.814787546781247,-252.6186387955417,6
2024-06-30,616.1050872397736,300.3201058526371,-67.12691756298238,6
2024-07-11,109.3517409640425,41.836058566911525,-21.25107598986017,7
2024-07-22,2.4224334245086454,-1.386261682703629,-0.06020856102122707,7
2024-08-02,8.057584228967816,1.5654425821534648,-2.942504875271311,8
2024-08-13,-3.387498294511479,-0.6673815812380602,1.0603182088959784,8
2024-08-24,5.170228127760906,-0.18486650141115366,-2.869356295273178,8
2024-09-04,0.0,0.0,0.0,9
2024-09-15,-2.4578071632009344,-0.1671462845326946,0.526631475229351,9
2024-09-26,-3.654096841977993,-0.38713046329865014,0.8853496178971909,9
2024-12-12,1.882087037601693,-0.5323245838609443,-1.1158205628933047,12
2024-12-23,-0.9945640313940741,-0.014740018665839908,0.6931590235462863,12
2025-01-03,-0.39068290558467433,-0.9872853730940168,0.06730007204191679,1
2025-01-14,0.13261556315376638,0.3589503308415875,-0.2667978070594472,1
2025-01-25,-1.239856332013515,-1.423044366419844,0.5511918506199436,1
2025-02-05,-1.8902429819852913,-5.498675145689529,1.284367103461534,2
2025-02-16,-3.5578458447147385,-10.095689135582687,1.0202086381154913,2
2025-02-27,-4.293875925913238,-8.617408975911275,1.5733745301765225,2
2025-03-10,5.554045609429913,0.47487928876758695,-2.9447198895230713,3
2025-03-21,-22.142653708945662,-8.816199569809388,21.181305040731445,3
2025-06-17,272.0750111835302,197.0246364585477,154.4289529279739,6
2025-06-28,-585.7143006651526,-178.06417851400133,-67.24333333297625,6
2025-07-09,1155.8220730046983,25.737709383444777,-60.459381483427364,7
2025-07-20,14.158380956749268,3.4909654571625626,-4.204934485404465,7
2025-07-31,0.8867053482960628,-1.1983581078189876,-0.14954230089574594,7
2025-08-11,0.30299142034196735,-0.22555078657242983,-0.4738205770862578,8
2025-08-22,-4.2644207489012995,-3.5161512698772137,1.6238245370439017,8
2025-09-02,-1.5037054820478255,-0.3367121201427355,0.18010045664959762,9
2025-09-13,-2.242948046163986,-0.9794656857993858,0.10022003450961847,9
2025-09-24,0.5250363229765722,0.4188807352546886,-0.04879514169942922,9
