eruption,eruption_date,dominant_octant,ash_pct_N,ash_pct_NE,ash_pct_E,ash_pct_SE,ash_pct_S,ash_pct_SW,ash_pct_W,ash_pct_NW
2019_Oct,2019-10-25,W,13.7,13.1,8.7,6.4,9.8,18.4,20.2,15.5
2020_Dec,2020-12-09,SW,40.2,41.3,30.7,25.8,34.2,48.4,47.7,42.5
2022_Nov,2022-11-20,SW,50.1,52.4,41.7,37.8,48.1,65.7,64.8,49.6
2023_PAROXYSM,2023-11-01,W,15.2,11.1,7.2,8.8,13.1,20.1,22.4,17.5
